pika	fictional-animal	A woodland pause	林间片刻	A woodland interpretation for the existing fictional yellow electric rodent, not a biological pika claim: soft fern tips, hazel leaves and a few moss-like low leaf sprays. Angular leaf tips suggest alert energy. No lightning glyph, cartoon character, animal, flowers or yellow field.	榛树叶、蕨尖与低矮苔叶围出林间空地，呼应现有虚构角色的活力，不把它误认成真实鼠兔。
raven	bird	Rowan and pine	花楸与松	A broad temperate woodland habitat for a raven: narrow pine needle fans and compound rowan leaves, with only three tiny muted seed-like berries. Place a sparse branch across the upper right and a smaller angled spray below. No black feather illustrations or gothic ornament.	松针与羽状花楸叶疏朗地分布在枝头，少量暗色果点呼应乌鸦清醒而沉静的气质。
bat	animal	Fig leaves at dusk	暮色无花果	A plausible fig-tree feeding habitat for the bat holding a fig: large three-lobed fig leaves with soft radiating veins and a few small new leaves. Two incomplete clusters sit apart along the right and bottom edges. No fruit still life, bat silhouette or nighttime sky.	三裂无花果叶伸展出清楚的叶脉，疏散嫩叶承接蝙蝠身旁的无花果，避免另设醒目的果实主体。
lyre	bird	Under the fern canopy	蕨下回声	A damp southeastern Australian forest-floor setting for a lyrebird: finely divided tree-fern fronds, long eucalyptus leaves and one curled young fern tip. Layer these asymmetrically as shallow botanical impressions, never a radial feather fan or a tropical monstera pattern.	树蕨细叶、桉树长叶与一枚嫩蕨卷承接琴鸟的湿润林地，把声音的层次藏进叶片重叠处。
pokepocket	character	A pocket field journal	口袋行记	A game explorer's well-made field-journal cover: tightly woven cotton canvas, shallow folded map creases, a few stitched pocket-edge impressions and one small quiet terracotta registration tab. Material surface only; no characters, animals, game logos, Poké Balls, readable maps or text.	细密棉帆布上的折图压痕与口袋缝线，呼应随身收藏和探索；不生成角色或游戏商标。
dogfight	material	Banked alloy	倾斜合金	A satin titanium aircraft-model work surface: diagonal overlapping alloy skin seams, a short sparse row of flush rivet impressions and gently changing brushed grain. Subtle banked angles imply the desk model's turn. Not a real aircraft blueprint; no aircraft, weapons, targets, labels or interface.	斜向金属拼缝、少量齐平铆点与细腻拉丝呼应桌面战机模型的转弯，是材质联想而非真实飞机图纸。
gaga	animal	A small garden to explore	小兔菜圃	A domestic rabbit's safe garden setting: feathery carrot fronds, soft clover leaves and a few broad dandelion leaves. A playful but calm low arrangement with rounded gaps between leaves. No carrots as focal objects, toys, flowers or animals.	轻盈胡萝卜缨、三叶草与蒲公英叶散落成小小菜圃，用柔软的间距承接兔子的探索欲。
pew-game	material	At the arcade bench	街机工作台	A handmade walnut arcade work surface: straight fine walnut grain, a shallow aged-brass control-plate edge impression and two unequal broad machined arcs near the bottom right. Quiet warm sand tones, no decorative prairie illustration, literal joystick, buttons, numbers or text.	顺直胡桃木纹、旧黄铜压边与两道浅弧沟承接手作街机的触感，把动作空间留给摇杆原标。
rooster	bird	Morning-glory leaves	晨间牵牛叶	A farmyard garden for the rooster whose mark includes a morning glory: heart-shaped morning-glory leaves, a loose climbing tendril and one tiny closed pale blossom. Leaves lead, with thin vertical grass near the lower edge. No bright flowers, poultry or sunrise emblem.	心形牵牛叶与一段松弛卷须沿庭院展开，只保留一枚安静花苞，承接公鸡的清晨气息。
snaky	animal	The meadow bends	草叶转弯	An unspecified small green snake's meadow-edge habitat: narrow grass blades crossing in slow bends, long ribbed plantain leaves and sparse soft seed heads. Use sinuous botanical paths while leaving broad negative space. No scales, snake drawing, circuit paths or geometric route arrows.	细草叶与车前长叶缓慢交错，草甸边缘的弯折自然呼应蛇的行进，也让路径有处可寻。
showtime	material	Before the first frame	开机之前	A film editing work mat: fine matte black photographic paper tooth adapted to the requested theme, shallow film-gate rails, a sparse strip of sprocket impressions and two off-center cue notches. Tactile optical-bench restraint; no clapperboard, letters, numbers, film scenes or UI.	哑光摄影纸的细齿、片门导轨与稀疏齿孔压痕，呼应录制前对齐画面的一刻。
infospace	material	Dividers with room to move	可移动的隔页	An information-tray lining: dense fine wool felt, shallow offset divider slots, rounded paper-edge steps and alternating unequal rectangular compartments suggested only at the edges. Keep the center spacious. No folders, paper stacks, readable documents or a literal dashboard.	细密羊毛毡上的错位隔板槽与纸边台阶，让可调整的信息分区成为可触摸的工作表面。
signoff-now	material	Counted impressions	计数压痕	A mechanical tally ledger surface: firm uncoated paper with shallow letterpress ruling, small grouped five-stroke impressions and a few offset column stops. Use a sparse nonliteral rhythm and no actual count, numbers, text or chart. The material recalls recording developer activity.	硬挺记录纸上的压线、分组刻痕与错位栏位呼应机械计数器，表达持续记录而不伪造数据。
unseal	material	An open seam	松开的封缝	A locksmith's restrained wool-and-enamel service surface: fine compressed felt tooth, one open curved shackle-seat impression, a broken sealing seam and a tiny brushed-brass edge accent. Emphasize release, not a repeating padlock or security guarantee. No words or symbols.	压实毡面的开口弧槽、断开的封缝与极少黄铜边光，呼应解除限制后的松动感。
flow	material	Where a key settles	按键落处	A celadon ceramic keyboard-making surface: soft matte ceramic micrograin, shallow staggered key-well shoulders and thin offset row grooves. A few pressed rounded square edges dissolve into open space. No letters, Chinese characters, keyboard object or glowing keys.	哑光瓷釉的微粒、错开的键位肩线与浅槽承接青瓷键帽，留下输入发生时轻轻落下的触感。
codo	bird	A flower within reach	近在喙边	A plausible hummingbird garden: slender salvia leaves and curved honeysuckle stems, with only two tiny tubular flowers in very muted terracotta. Stems sweep upward toward a clear open center. Botanical detail should be visible yet quiet; no bird or bright bouquet.	鼠尾草长叶与金银花弯枝向上伸展，仅用两枚低饱和筒状小花回应蜂鸟取食的瞬间。
arena	material	Two considered turns	两步之间	A chess-clock debate-table surface: fine woven wool felt with two unequal pressed timing arcs, a restrained center seam and a few parallel move-line impressions. Balanced left and right negative space without literal chess pieces, clock faces, chessboard squares, digits or labels.	细织毛毡上的双侧计时弧与浅浅行棋压线，给比较、辩论和决定各留一点从容。
owl	bird	Beneath the beech	山毛榉叶下	A broad temperate owl woodland: oval beech leaves with clear secondary veins, a few lobed oak leaves and one small twig with a closed seed husk. Place leaves as sparse pressed litter, not a dense canopy, feathers, eyes or a night-sky illustration.	椭圆山毛榉叶与少量橡叶疏散地落在林下，清楚的支脉回应猫头鹰敏锐而安静的观察。
xray	animal	Leaves for a butterfly	蝶停叶间	A temperate butterfly garden without asserting species: long gently serrated buddleia leaves, a small branching nettle-like host-leaf spray and a single tiny desaturated flower cluster. Keep all petals under two percent of the canvas. No butterflies, wings or rainbow gradients.	醉鱼草长叶与细小寄主植物叶丛围出停驻处，只有一簇低调花影，把彩色位置留给蝴蝶原标。
r2shot	animal	Eelgrass in the current	潮流中的鳗草	A coastal marine meadow for an unspecified dolphin: long flat eelgrass ribbons with subtle parallel veins and a few small kelp blade tips. Sweep the blades in a broad underwater current along the lower right, leaving the upper left open. No flowers, shells, coral, bubbles or dolphin silhouette.	长长鳗草叶带与少量海带叶尖顺着潮流弯折，给海豚留出开阔的浅海水域。
shrike	bird	A hawthorn lookout	山楂枝上的守望	A hedgerow perch for a shrike: small deeply lobed hawthorn leaves on sparse thorn-bearing twigs, a few narrow grass seeds and no more than two tiny muted berries. An angular branching outline along the right edge; no bird, prey, flowers or feather motif.	有棱角的山楂叶与疏朗带刺枝条构成篱边停栖处，呼应伯劳清醒的视线。
hooky	animal	A kelp cove	海藻小湾	A sheltered kelp and sea-lettuce marine habitat for an octopus: broad softly crinkled sea-lettuce fronds, divided kelp fingers and one slim swaying holdfast-like stem. Use open curling botanical edges. No tentacles, suckers, coral, flowers, shells or bubbles.	宽阔海莴苣叶与分叉海藻缓慢卷曲，在安静海湾里承接章鱼舒展的腕足。
dotty	material	Ceramic measures	瓷面刻度	A matte ceramic design worktile: finely stippled glaze and a restrained grid of large shallow square recesses with softly beveled rims, unevenly interrupted near the center. Tonal geometry only, not a black-and-white checkerboard, logo, letters or UI.	细颗粒瓷釉与大尺度浅方格形成可读的几何秩序，留白处打断格子，不争抢黑白原标。
wooly	animal	Clover on the hillside	坡地三叶草	A sheep pasture: rounded white-clover leaflets, long ryegrass blades and a few soft grass seed spikes. Rounded overlapping botanical shapes gather low, with no wool texture, sheep curls or bright flower heads. Keep the hill suggested by leaf direction, not a landscape.	圆润白三叶草与黑麦草铺在缓坡上，以草叶的层次承接绵羊，避免把羊毛纹直接复制成背景。
matrix	material	Quiet routing	安静的布线	A satin composite electronics substrate: shallow orthogonal etched copper-like channels, small circular via depressions and staggered rectangular solder-mask zones. Subtle controlled relief, not glowing cyberpunk traces, readable circuit labels or a functional schematic. Keep routes sparse and purposeful.	复合板上的浅刻通道、小孔与错位覆膜区保留电路材质的秩序，避免发光线条压过主视觉。
basalt	material	Stone and joinery	石与榫	A finely honed architectural stone sample: pale Hanbaiyu-like microcrystalline grain, shallow stepped joinery rebates and a few asymmetric roof-bracket alignment notches. Geometric construction marks belong to a crafted corner-tower model. No palace miniature, ornaments, dragons or floral motifs.	细磨石材的微晶、阶式榫槽与少量斗拱定位刻痕，呼应角楼模型精密而耐看的构造。
surety	animal	Shelter at the grass edge	草边的庇护	A broad lion savanna setting: substantial grass tufts, small oval combretum leaves and a sparse fan of dry seed heads. Botanical masses provide a loose sheltered corner, with no mane shape, lion, shield, thorn wreath or flowers.	草丛、椭圆灌木叶与疏散穗头在草原边缘围出庇护处，承接狮子的可靠气质。
life-ai	animal	A river garden	河岸小园	A plausible capybara wetland: broad rounded water-hyacinth leaves without blossoms, slender reed leaves and several smaller floating wetland leaves. Low overlapping pairs and one rising stem echo relaxed waterside life, without fruit, animals or literal ripples.	圆润水生叶与细芦苇贴着河岸生长，宽窄相间的叶片承接水豚松弛而完整的日常。
echo	material	Survey linen	测绘亚麻	A pocket-compass mapmaker's surface: tightly woven linen under fine laid paper, shallow partial bearing arcs and one open crosshair-like registration pair near an edge. Sparse tactile cartographic marks, without a compass rose, actual map, names, numbers or arrows.	亚麻衬纸上的局部方位弧与开放定位线，回应随身罗盘，也把查找位置变成安静的阅读过程。
deca	material	Switchboard grain	交换台肌理	A vintage desk-telephone switchboard surface: matte phenolic micrograin, gently curved paired cable-routing grooves and a few recessed connector-channel ends. Lines converge loosely toward an open gap without a reset loop. No phone object, dial, digits, text or glowing indicators.	哑光酚醛表面的双线槽与凹入接口边缘，让对话的接入和转接有了旧式交换台的触感。
runner	material	A measured minute	一分钟的刻度	A watchmaker's timing mat: fine soft suede grain, two interrupted concentric calibration arcs and a restrained row of minute-like pressed notches along one edge. Spacious and purposeful, no stopwatch object, numerals, dial face or central emblem.	绒面计时垫上的断续校准弧与边缘刻痕，呼应机械秒表和可预期的任务节奏。
zhe	animal	The herb border	香草花境	A bee-foraging herb garden: narrow rosemary needles, tiny thyme leaf pairs and one very small subdued cream thyme flower cluster. Loose branching botanical paths connect small leaf groups, not hexagons, honeycomb, honey, bees or bright flowers.	迷迭香针叶与百里香小叶沿细枝相接，极少量浅色花影为蜜蜂留下合适的采食环境。
geekhub	material	Reading cloth	阅读书衣	A well-used but clean reading-folio material: fine linen bookcloth beside lightly pressed laid-paper bands, unequal column folds and a few quiet binding-edge stitches. Editorial tactility without actual newspaper text, book objects, labels, icons or distress.	亚麻书衣与压纹纸带交错，分栏折线和少量装订线承接阅读、收藏与再整理。
ccbackup	legacy-material	A place for a copy	副本归位	A configuration-backup storage sleeve: matte molded polymer with fine parallel ribs, shallow offset rectangular index recesses and a few precise archival tab notches. A physical analogy to the existing floppy-disk emoji, not a new logo, disk illustration, code or status indicator.	细肋聚合物、矩形索引凹位与档案卡槽承接软盘表情所代表的备份工作，保持现有身份不变。
noheir	animal	Pasture rows	牧草成行	A dairy-cow pasture without assuming breed: broad alfalfa leaf triplets, meadow-grass blades and loose oat seed panicles. Gentle low horizontal arrangements suggest a cared-for field, with no financial ledger grid, coins, cow spots, flowers or animal.	苜蓿三出叶、牧草与松散燕麦穗自然成行，把奶牛身边有照料的草地延伸成安稳的背景。
ipsafe	material	Connection channels	连接槽道	A network-cable tester's silicone service surface: fine dry elastomer grain, several parallel shallow cable channels and two staggered connector seat impressions at one edge. A tiny quiet terracotta endpoint, no retry loop, literal cable tester, status lights, text or readable wiring diagram.	干爽弹性材质上的平行线槽与错位接口座，承接网络检测工具的连接关系，不把纹理当作健康状态。
uptime-kuma-skill	legacy-material	Clinical paper	听诊纸面	A clean diagnostic work surface for the existing stethoscope emoji: pressed cellulose examination-paper fibers, two incomplete soft diaphragm-like rings and a short sparse baseline indentation. Clinical calm without heartbeat readings, medical claims, tools, labels or bright hospital colors.	压实纤维纸与两道不完整听诊弧呼应监控诊断，以安静材质表达观察，不伪造健康读数。
microsoft-teams-send-as-workflow	legacy-material	Correspondence folds	来信折痕	A correspondence desk's quality cotton stationery: broad shallow envelope-flap fold impressions, one diagonal crease and offset sorting-strip indentations. Clean quiet paper grain, no envelope object, postal logo, stamps, text or Microsoft branding.	棉质信纸的宽折痕与错位分拣压条呼应消息递送，保持书信感而不生成平台商标。
image-stitch	legacy-material	A continuous mount	接续的裱面	A photograph conservator's mounting surface: matte linen-backed archival paper, gently stepped overlapping mount seams and sparse paired alignment corners. Long vertical continuation suggested by the seams. No photograph, frame object, cutting instructions, text or UI.	亚麻衬裱纸的搭接边与成对对齐角把长图的连续关系变成材质，完整照片仍由原项目呈现。
skill-faster-whisper	legacy-material	Acoustic felt	收声毡面	An audio transcription recording-booth surface: densely woven acoustic felt, shallow elongated pill-shaped perforation rows and a few low-amplitude embossed horizontal wave fragments. Pattern is broad and sparse, not a fake transcript, equalizer UI, microphone or dense waveform.	细织吸音毡与稀疏长孔收住声音，轻浅横向波纹呼应语音转写而不生成虚构转录内容。
skill-task-notifier	legacy-material	Dispatch board	任务派送板	A tidy physical dispatch surface: very fine pressed cork-paper grain, shallow horizontal task-lane dividers and two small offset docket-tab impressions. A tiny restrained terracotta notch suggests attention without glowing or claiming task status. No text, envelope, stamps or icons.	压实软木纸与横向派送分隔、错位票签凹痕承接任务通知，少量色点只作视觉提醒。
mcp-work-history	legacy-material	A stitched work log	装订工作簿	A robot-assistant work-log analogue: tough long-fiber notebook paper, a low stitched binding-edge impression, staggered index tabs and sparse ledger-like baselines. Warm tactile record keeping, no robot face, readable chronology, code, dates or labels.	长纤维记录纸、装订线与交错索引签承接可检索的工作历史，纹理里不编造时间记录。
mcp-make-sound	legacy-material	Speaker cloth	扬声织物	A restrained speaker-grille material: fine two-direction acoustic textile weave, one broad shallow diaphragm-like arc emerging near the lower right and a few layered fabric seams. Not an actual speaker object, music notes, ripples, neon sound waves or text.	双向声学织物与一段宽浅振膜弧呼应系统声音，保留织物触感和开阔的静处。
infoviz	legacy-material	Tracing a relationship	描图关系	A data illustrator's tracing-paper surface: subtle long paper fibers, two partial circle-construction arcs, small sparse plotted registration points and light nonuniform guide rules. Keep relationships abstract, not a completed chart, infographic, colored logo, numbers or labels.	描图纸上的局部构造弧、零星定位点与疏松导线承接信息关系的探索，不伪造真实图表。
jsinst	legacy-material	Measurement traces	测量轨迹	A software-instrumentation analogue in a precision electrical measurement pad: matte microstipple, interrupted calibration rulings and short carefully stepped trace grooves. No lightning icon, oscilloscope screen, electrical hazard emblem, digits or functional circuit.	细颗粒测量垫的断续标定线与短阶梯槽，把性能观测转成克制的工具表面。
infoviz-builder	legacy-material	Working geometry	构图工作纸	A visual-builder's architectural vellum surface: softly translucent paper tooth, unequal orthographic box-construction guides, two open tangency arcs and small offset alignment stops. Physical drafting, not a UI wireframe, exact chart, typography or tool illustration.	半透描图纸上的不等构造框、开放切弧与错位定位线，呼应可视化作品成形前的工作过程。
nodehub	legacy-material	Service rails	服务导轨	A server-organizer's molded service-panel surface: fine matte polymer, sparse vertical rail depressions, short crosswise cable-tray notches and rounded modular junction seams. Physical order with ample central space; no server box, Node logo, text, sockets or circuit artwork.	哑光面板里的竖向导轨、横槽与圆润接缝，像为不同服务留出各自可归位的位置。
huran-cc	legacy-material	Gallery linen	画廊亚麻	A quiet art-archive presentation material: finely woven natural gallery linen beneath warm rag-paper tooth, shallow mounting-edge impressions and two soft deckle-like fiber transitions. No painting, frame, calligraphy, logos, colorful pigments or decorative flowers.	天然画布与棉浆纸纤维在浅压裱边处相接，让艺术品之间的空白也保有细致的触感。
doc-doctor-com	legacy-material	The editing desk	编辑案头	An editor and translator's firm cotton-rag writing paper: clear fine laid lines, one broad margin fold and short offset interlinear guide impressions. No readable words, correction glyphs, diploma, flags, letters or blue logo. Keep a large uninterrupted reading area.	棉浆写作纸的帘纹、页边折线与错位行间压痕呼应编辑和翻译，主要阅读区域保持舒展。
nodeviz	legacy-material	Caliper marks	量规刻痕	A visualization-tool maker's satin workplate: fine directional brushed aluminum adapted to the requested palette, shallow linked circular measurement seats and sparse short caliper ticks. No wrench object, actual graph, numeric scale or chrome glare.	柔和拉丝工作板上的相连测量凹位与短量规刻痕，承接工具构造中的关系和尺度。
express-spa	legacy-material	A folded atlas	折叠图册	A web-routing atlas analogue: fine laid map paper, two broad nonintersecting meridian-like curves and shallow asymmetric accordion-fold ridges. Quiet physical sheet structure, no globe object, geography, arrows, place names, browser UI or text.	地图纸上的经线弧与不对称折脊承接网页间的连接，避免把背景画成浏览器界面。
discuz-recovery	legacy-material	A careful repair	细致修复	An archival restoration bench surface: clean long-fiber repair paper, carefully overlapped translucent binding strips and a few gently interrupted stitch impressions. Subtle repaired seams express recovery, no torn grunge, wrench, real document, text or forum screenshot.	长纤维修复纸与轻薄搭接条把旧帖恢复的意图转成细致接缝，保持洁净而不制造破旧感。
feedmaid	legacy-material	The mail ledge	信箱搁台	A feedback-mailbox writing ledge: fine pebbled enamel paint, shallow overlapping stationery-edge impressions and one small letterpress-like attention notch. Calm tactile incoming correspondence, no actual mailbox, envelope, feedback count, logo or readable text.	细砂珐琅与叠放信纸的边缘压痕承接用户来信，一枚浅缺口为需要留意的声音留下位置。
infoviz-ios	legacy-material	Etched glass notes	玻璃刻记	A handheld visualization drafting surface: finely frosted glass texture, broad rounded corner registration grooves, sparse plotted dot impressions and one gently rising shallow data-stroke fragment. No actual phone, UI, numbers, charts, logo or translucent rainbow glare.	磨砂玻璃上的圆角定位槽、稀疏点痕与浅曲线，回应掌上信息展示的尺度和清晰度。
node-image-uploader	legacy-material	The scanning bed	扫描衬面	A photographic scanning-bed liner: matte flax-fiber paper, a restrained pair of open photo-registration corners, subtle parallel feed grooves and a quiet short leading-edge crease. No photographs, frame object, upload arrows, text or recreated screenshot.	亚麻纤维衬纸、开放对位角与平行走纸槽承接图像上传前的整理，图像内容仍保持独立。
clip	bird	Grass at walking height	步行高度的草	An open ostrich savanna habitat: tall narrow grass seed stems, sparse thornbush leaflets and a few bowed dry blades. A broad low wind sweep leaves the middle open, with no ostrich feathers, cowboy hat, native bird claim, flowers or animal.	高草穗、稀疏刺灌小叶与弯曲干草贴近鸵鸟步行的高度，用开阔风向承接原标的轻快。
fundly	bird	A coastal lookout	海岸瞭望处	A vegetated subantarctic coastal interpretation for an unspecified penguin: coarse tussock-grass blades, a few small leathery coastal herb leaves and one bent grass seed head. Record this as a plausible broad campaign habitat, not a species claim. No tropical plants, flowers, ice emblem or penguin.	粗壮丛生草与少量海岸草本小叶构成瞭望处。采用合理的亚南极植被联想，不断言企鹅的具体物种。
dreamro	material	A maker's parchment	匠人的羊皮纸	A fantasy prop-maker's shield workshop surface: fine clean parchment grain, shallow diagonal leather-lacing channels and restrained hammered-metal edge impressions. A few broad asymmetrical heraldic construction folds only; no coat of arms, shield, weapons, runes, characters or text.	洁净羊皮纸、斜向皮绳槽与浅锤纹金属压边承接盾牌道具的制作感，不另造徽章或武器主体。
meowth	animal	A windowsill garden	窗边小花园	A domestic cat's safe windowsill-garden interpretation: rounded softly serrated catmint leaves, a few slender oat-grass blades and delicate branching stems. Compact airy groupings suggest a quiet home. No flowers, yarn loops, paw prints, cartoon coins or cat silhouette.	柔软猫薄荷叶与细燕麦草在窗边疏散生长，承接家猫的安静日常，不把毛线或爪印再铺满背景。
coffee	material	Cupping paper and glaze	杯测纸与釉	A coffee tasting work surface: fine uncoated cupping-paper fibers, soft ceramic-glaze micrograin and two broad incomplete translucent ring impressions of unequal size. Only a tiny muted warm brown accent. No cup, coffee beans, botanical illustration, text, wheel graphic or dark stains.	杯测纸纤维、细瓷釉与两道不完整的浅环痕呼应品饮过程，咖啡杯原标仍是唯一主体。
hermes-on-herdr	material	A gateway work surface	门框工作面	A crafted gateway instrument's work surface: restrained brushed-brass grain, matte enamel inset seams, a pair of offset vertical guide rebates and one open threshold indentation. Architectural and tactile, no literal door, terminal text, circuit reset route, status light or logo.	细黄铜拉丝、珐琅嵌缝与错位门框浅槽，承接网关工具的接入关系，保留开门的余地。
ocelot	animal	Understory pages	林下叶页	A plausible tropical-forest understory for an ocelot: long heliconia-like leaves with clear parallel side veins, small understory fern tips and two curled young leaf edges. Asymmetric leaf overlaps suggest quietly turned pages. No rosettes, big cat, flowers or generic monstera wallpaper.	长阔蕉叶、林下蕨尖与卷起的新叶边层叠如书页，给豹猫留下通透的热带林下空间。
